年月,數值,預估(F)
2020/02,"3,955",P
2020/01,"3,987",R
2019/12,"4,043",R
2019/11,"3,923",R
2019/10,"3,922",R
2019/09,"3,875",R
2019/08,"3,847",R
2019/07,"3,861",R
2019/06,"3,828",R
2019/05,"3,788",R
2019/04,"3,820",R
2019/03,"3,754",R
2019/02,"3,702",R
2019/01,"3,746",R
2018/12,"3,797",R
2018/11,"3,677",R
2018/10,"3,719",R
2018/09,"3,672",R
2018/08,"3,686",R
2018/07,"3,678",R
2018/06,"3,655",R
2018/05,"3,656",R
2018/04,"3,699",R
2018/03,"3,689",R
2018/02,"3,567",R
2018/01,"3,653",R
2017/12,"3,653",R
2017/11,"3,604",R
2017/10,"3,602",R
2017/09,"3,562",R
2017/08,"3,568",R
2017/07,"3,533",R
2017/06,"3,511",R
2017/05,"3,497",R
2017/04,"3,466",R
2017/03,"3,461",R
2017/02,"3,339",R
2017/01,"3,381",R
2016/12,"3,383",R
2016/11,"3,327",R
2016/10,"3,331",R
2016/09,"3,301",R
2016/08,"3,323",R
2016/07,"3,249",R
2016/06,"3,250",R
2016/05,"3,237",R
2016/04,"3,234",R
2016/03,"3,178",R
2016/02,"3,094",R
2016/01,"3,090",R
2015/12,"3,137",R
2015/11,"3,052",R
2015/10,"3,008",R
2015/09,"3,013",R
2015/08,"3,019",R
2015/07,"3,035",R
2015/06,"3,017",R
2015/05,"2,972",R
2015/04,"3,032",R
2015/03,"3,020",R
2015/02,"2,976",R
2015/01,"2,937",R
2014/12,"2,988",R
2014/11,"2,857",R
2014/10,"2,861",R
2014/09,"2,831",R
2014/08,"2,786",R
2014/07,"2,837",R
2014/06,"2,820",R
2014/05,"2,778",R
2014/04,"2,805",R
2014/03,"2,769",R
2014/02,"2,702",R
2014/01,"2,698",R
2013/12,"2,712",R
2013/11,"2,602",R
2013/10,"2,615",R
2013/09,"2,550",R
2013/08,"2,533",R
2013/07,"2,540",R
2013/06,"2,520",R
2013/05,"2,515",R
2013/04,"2,538",R
2013/03,"2,493",R
2013/02,"2,452",R
2013/01,"2,478",R
2012/12,"2,505",R
2012/11,"2,410",R
2012/10,"2,410",R
2012/09,"2,352",R
2012/08,"2,328",R
2012/07,"2,307",R
2012/06,"2,266",R
2012/05,"2,248",R
2012/04,"2,268",R
2012/03,"2,245",R
2012/02,"2,194",R
2012/01,"2,209",R
2011/12,"2,208",R
2011/11,"2,164",R
2011/10,"2,126",R
